home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
New York JetsNY Jets (1-2),0,14,3,14,31,31,Detroit LionsDetroit (0-3),0,7,0,3,10,10,1979,3
Houston OilersHouston (2-1),7,10,0,3,20,20,Kansas City ChiefsKansas City (1-2),0,6,0,0,6,6,1979,3
Cincinnati BengalsCincinnati (0-3),0,0,7,7,14,14,New England PatriotsNew England (2-1),0,7,7,6,20,20,1979,3
New Orleans SaintsNew Orleans (0-3),0,7,0,7,14,14,Philadelphia EaglesPhiladelphia (2-1),3,10,3,10,26,26,1979,3
Minnesota VikingsMinnesota (1-2),3,6,3,0,12,12,Miami DolphinsMiami (3-0),0,7,0,20,27,27,1979,3
Green Bay PackersGreen Bay (1-2),3,0,0,7,10,10,Tampa Bay BuccaneersTampa Bay (3-0),0,7,14,0,21,21,1979,3
Dallas CowboysDallas (3-0),7,3,7,7,24,24,Chicago BearsChicago (2-1),7,0,6,7,20,20,1979,3
San Diego ChargersSan Diego (3-0),7,6,7,7,27,27,Buffalo BillsBuffalo (1-2),6,6,7,0,19,19,1979,3
Seattle SeahawksSeattle (1-2),7,3,10,7,27,27,Oakland RaidersOakland (1-2),0,0,7,3,10,10,1979,3
St. Louis CardinalsSt. Louis (1-2),9,6,6,0,21,21,Pittsburgh SteelersPittsburgh (3-0),7,0,0,17,24,24,1979,3
Los Angeles RamsLos Angeles (2-1),0,14,7,6,27,27,San Francisco 49ersSan Francisco (0-3),10,0,0,14,24,24,1979,3
Washington RedskinsWashington (2-1),3,14,7,3,27,27,New York GiantsNY Giants (0-3),0,0,0,0,0,0,1979,3
Detroit LionsDetroit (1-3),7,3,0,14,24,24,Atlanta FalconsAtlanta (2-2),0,3,13,7,23,23,1979,4
Pittsburgh SteelersPittsburgh (4-0),7,3,0,7,17,17,Baltimore ColtsBaltimore (0-4),10,0,3,0,13,13,1979,4
Minnesota VikingsMinnesota (2-2),7,0,7,7,6,27,Green Bay PackersGreen Bay (1-3),0,14,0,7,0,21,1979,4
Cincinnati BengalsCincinnati (0-4),14,10,0,3,0,27,Houston OilersHouston (3-1),0,10,17,0,3,30,1979,4
Buffalo BillsBuffalo (2-2),6,13,21,6,46,46,New York JetsNY Jets (1-3),3,21,0,7,31,31,1979,4
New England PatriotsNew England (3-1),17,3,0,7,27,27,San Diego ChargersSan Diego (3-1),0,14,0,7,21,21,1979,4
Kansas City ChiefsKansas City (2-2),14,0,7,14,35,35,Oakland RaidersOakland (1-3),0,0,0,7,7,7,1979,4
St. Louis CardinalsSt. Louis (1-3),0,0,7,0,7,7,Washington RedskinsWashington (3-1),14,0,0,3,17,17,1979,4
Miami DolphinsMiami (4-0),3,0,14,14,31,31,Chicago BearsChicago (2-2),0,6,3,7,16,16,1979,4
Tampa Bay BuccaneersTampa Bay (4-0),0,21,0,0,21,21,Los Angeles RamsLos Angeles (2-2),6,0,0,0,6,6,1979,4
San Francisco 49ersSan Francisco (0-4),7,7,0,7,21,21,New Orleans SaintsNew Orleans (1-3),0,13,14,3,30,30,1979,4
New York GiantsNY Giants (0-4),3,3,0,7,13,13,Philadelphia EaglesPhiladelphia (3-1),7,7,3,0,17,17,1979,4
Denver BroncosDenver (3-1),0,10,21,6,37,37,Seattle SeahawksSeattle (1-3),10,10,14,0,34,34,1979,4
Cleveland BrownsCleveland (4-0),20,0,0,6,26,26,Dallas CowboysDallas (3-1),7,0,0,0,7,7,1979,4
Houston OilersHouston (4-1),10,14,7,0,31,31,Cleveland BrownsCleveland (4-1),0,10,0,0,10,10,1979,5
New York JetsNY Jets (2-3),7,13,6,7,33,33,Miami DolphinsMiami (4-1),10,0,0,17,27,27,1979,5
Detroit LionsDetroit (1-4),0,0,3,7,10,10,Minnesota VikingsMinnesota (3-2),0,3,7,3,13,13,1979,5
New Orleans SaintsNew Orleans (2-3),0,10,7,7,24,24,New York GiantsNY Giants (0-5),0,0,7,7,14,14,1979,5
Philadelphia EaglesPhiladelphia (4-1),0,7,10,0,17,17,Pittsburgh SteelersPittsburgh (4-1),0,7,0,7,14,14,1979,5
Atlanta FalconsAtlanta (2-3),7,0,0,0,7,7,Washington RedskinsWashington (4-1),3,10,3,0,16,16,1979,5
Baltimore ColtsBaltimore (0-5),3,3,0,7,13,13,Buffalo BillsBuffalo (3-2),0,14,17,0,31,31,1979,5
Chicago BearsChicago (2-3),0,3,3,7,13,13,Tampa Bay BuccaneersTampa Bay (5-0),0,10,0,7,17,17,1979,5
Dallas CowboysDallas (4-1),7,14,10,7,38,38,Cincinnati BengalsCincinnati (0-5),3,3,7,0,13,13,1979,5
Oakland RaidersOakland (2-3),7,7,0,13,27,27,Denver BroncosDenver (3-2),0,3,0,0,3,3,1979,5
Seattle SeahawksSeattle (1-4),3,0,3,0,6,6,Kansas City ChiefsKansas City (3-2),0,10,0,14,24,24,1979,5
